,units,n_back,n_dense,dropout,vloss,mae_pers,mae_pred,skill,frac_pos_skill,frac_0_mae_pers
58,144,120,24,0.1,0.014252275228500366,0.04557496955470568,0.051662685550012896,-0.13357586532229848,0.4603501657073086,0.0
17,288,144,24,0.0,0.01403979491442442,0.04557496955470568,0.051324939584151345,-0.12616508767040902,0.4535474446188732,0.0
46,144,336,24,0.1,0.013885896652936935,0.04557496955470568,0.050389557983214574,-0.10564106735671497,0.46356619570905283,0.0
25,120,120,36,0.0,0.013817604631185532,0.04557496955470568,0.050314424157481545,-0.10399249081421513,0.46750174428745855,0.0
9,336,120,24,0.1,0.014121788553893566,0.04557496955470568,0.05012636086421519,-0.0998660307177226,0.4491431187859759,0.0
49,24,96,36,0.0,0.013732371851801872,0.04557496955470568,0.04993974281044729,-0.09577128187660944,0.4407923425780569,0.0
82,144,240,24,0.0,0.012985666282474995,0.04557496955470568,0.04939896418968508,-0.0839055883600599,0.4704234257805686,0.0
6,336,48,24,0.0,0.0139850452542305,0.04557496955470568,0.048577460582694416,-0.06588026404240854,0.45351473922902497,0.0
79,72,192,24,0.0,0.011770886369049549,0.04557496955470568,0.048471351153538726,-0.06355202487532963,0.4744570905285191,0.0
53,288,24,36,0.0,0.014393494464457035,0.04557496955470568,0.04794832433516438,-0.05207583907675151,0.4824045002616431,0.0
29,384,432,36,0.1,0.013982012867927551,0.04557496955470568,0.047670349175454235,-0.04597654460818412,0.46387144601430313,0.0
61,72,240,24,0.1,0.013012058101594448,0.04557496955470568,0.047396861737895035,-0.03997571915001408,0.4701181754753183,0.0
56,192,384,36,0.0,0.012673426419496536,0.04557496955470568,0.04732669567479807,-0.038436144603228195,0.480006105006105,0.0
70,192,384,24,0.0,0.011059464886784554,0.04557496955470568,0.047322271554994626,-0.038339071147191595,0.47647392290249435,0.0
62,336,192,24,0.1,0.013130327686667442,0.04557496955470568,0.04716025103526358,-0.03478403816935116,0.48490101168672595,0.0
72,48,288,24,0.0,0.011246154084801674,0.04557496955470568,0.046906820587630925,-0.02922330055155742,0.484508547008547,0.0
76,192,336,24,0.0,0.011992162093520164,0.04557496955470568,0.04688930951091787,-0.028839074804746234,0.4935897435897436,0.0
48,288,120,24,0.1,0.011795608326792717,0.04557496955470568,0.04670083546786332,-0.024703602090314414,0.46764346764346765,0.0
60,120,336,24,0.1,0.011350521817803383,0.04557496955470568,0.04666678906713035,-0.023956560434211793,0.47701901273329844,0.0
34,480,192,36,0.0,0.013465308584272861,0.04557496955470568,0.04658048350434846,-0.022062855103738954,0.47804378161521016,0.0
28,336,144,36,0.1,0.012235653586685658,0.04557496955470568,0.04656570911877259,-0.021738677474653967,0.4827315541601256,0.0
80,480,192,24,0.0,0.01150743942707777,0.04557496955470568,0.04642818343814196,-0.01872110704127028,0.4822300715157858,0.0
31,288,240,24,0.0,0.011558767408132553,0.04557496955470568,0.04626379034484485,-0.01511401536565704,0.49417844060701205,0.0
81,72,24,24,0.1,0.012512295506894588,0.04557496955470568,0.04625287772842206,-0.014874572168450007,0.48886926565497996,0.0
11,240,240,36,0.1,0.010737418197095394,0.04557496955470568,0.046195517263977234,-0.013615976386483153,0.49387319030176174,0.0
7,192,480,24,0.0,0.010544109158217907,0.04557496955470568,0.04616599696537008,-0.012968245869149131,0.4804421768707483,0.0
63,48,480,24,0.0,0.012615211308002472,0.04557496955470568,0.046059118297982676,-0.01062312817775668,0.46623713587999305,0.0
21,72,240,24,0.0,0.011372686363756657,0.04557496955470568,0.045939494139361596,-0.00799835059063203,0.47732426303854875,0.0
19,240,336,24,0.0,0.01077987626194954,0.04557496955470568,0.04593934410653387,-0.007995058590018811,0.4936878597592883,0.0
84,48,96,36,0.0,0.011124078184366226,0.04557496955470568,0.04592284214613309,-0.007632974740879428,0.4833747601604744,0.0
15,480,72,24,0.0,0.01228505652397871,0.04557496955470568,0.0459216542737864,-0.007606910601763106,0.4805184894470609,0.0
27,120,24,24,0.0,0.011601869016885757,0.04557496955470568,0.04576930728020915,-0.00426413286508498,0.48703776382347813,0.0
16,432,480,24,0.0,0.01277773268520832,0.04557496955470568,0.045708045503135564,-0.0029199349934869723,0.5143358625501483,0.0
89,384,336,24,0.0,0.012475994415581226,0.04557496955470568,0.04552588472930065,0.0010770127963795062,0.481325222396651,0.0
18,96,480,24,0.1,0.010804666206240654,0.04557496955470568,0.045429796095139426,0.00318537699497512,0.49409122623408336,0.0
86,96,192,24,0.1,0.01340573187917471,0.04557496955470568,0.045411601698017716,0.003584596068503476,0.5066391941391941,0.0
83,336,120,36,0.0,0.01088747102767229,0.04557496955470568,0.045313252770280824,0.00574255533206014,0.4931536717251003,0.0
91,24,120,36,0.1,0.011075768619775772,0.04557496955470568,0.045197605360086,0.008280075627186356,0.49033010640153496,0.0
44,384,96,24,0.0,0.01260243821889162,0.04557496955470568,0.04511619537467972,0.010066362841455456,0.49343711843711846,0.0
2,72,288,24,0.0,0.010163728147745132,0.04557496955470568,0.04507060120250459,0.011066784182832468,0.49252136752136755,0.0
43,288,144,36,0.0,0.010804363526403904,0.04557496955470568,0.045025830792027044,0.012049130653164264,0.4927285016570731,0.0
52,24,96,24,0.0,0.011067465879023075,0.04557496955470568,0.04495719339139264,0.013555163488842115,0.48243720565149134,0.0
20,432,48,24,0.0,0.010604916140437126,0.04557496955470568,0.04486168600715865,0.01565077397782655,0.4948761555904413,0.0
47,288,240,36,0.0,0.012108489871025085,0.04557496955470568,0.04485852812220446,0.015720063875001467,0.49614076399790685,0.0
22,384,72,36,0.0,0.011448396369814873,0.04557496955470568,0.044717523847589445,0.01881396116100531,0.5013518227803943,0.0
4,480,96,24,0.0,0.01111975684762001,0.04557496955470568,0.04458516763575649,0.021718103788551768,0.5053527821384964,0.0
64,288,48,24,0.0,0.011492027901113033,0.04557496955470568,0.044513614989404086,0.02328810256313174,0.5051020408163265,0.0
40,72,432,36,0.1,0.01027761772274971,0.04557496955470568,0.04444586609811274,0.024774639843425983,0.4921725100296529,0.0
73,48,120,24,0.1,0.009658158756792545,0.04557496955470568,0.04439983599233837,0.02578462638261869,0.4920852956567242,0.0
71,336,24,36,0.1,0.012125113047659397,0.04557496955470568,0.04431325622414962,0.02768434829213806,0.4864272632129775,0.0
45,192,288,36,0.0,0.01134234108030796,0.04557496955470568,0.04422131696764238,0.029701667390878872,0.4912894645037502,0.0
0,144,96,36,0.1,0.011383487842977047,0.04557496955470568,0.044129549203918324,0.03171522361748047,0.49823390894819464,0.0
65,432,384,24,0.0,0.013424988836050034,0.04557496955470568,0.04396024118203891,0.035430158010934854,0.5096807953950812,0.0
85,120,384,24,0.0,0.011647403240203857,0.04557496955470568,0.04388787304358327,0.03701805020620608,0.49232513518227805,0.0
42,240,144,24,0.1,0.011026741936802864,0.04557496955470568,0.04388034532106119,0.03718322250572981,0.518925518925519,0.0
78,24,96,24,0.1,0.011174405924975872,0.04557496955470568,0.04387635628710278,0.03727074936526242,0.5022021629164486,0.0
55,72,384,24,0.0,0.011783410795032978,0.04557496955470568,0.043594975918096655,0.04344476048924939,0.5055054072911216,0.0
38,384,384,24,0.1,0.010745150968432426,0.04557496955470568,0.04351567390274598,0.04518479490124139,0.5386359672073958,0.0
75,48,24,36,0.1,0.01158879790455103,0.04557496955470568,0.0434538711113702,0.04654086363764709,0.5124171463457178,0.0
24,192,72,24,0.1,0.012392105534672737,0.04557496955470568,0.043233242286371903,0.051381872356993985,0.5138888888888888,0.0
88,72,96,36,0.1,0.010422847233712673,0.04557496955470568,0.04313610301688509,0.05351328945800182,0.5133328972614687,0.0
54,240,192,36,0.0,0.013021964579820633,0.04557496955470568,0.042955290526384284,0.0574806533919211,0.5137471655328798,0.0
66,384,120,36,0.1,0.010120688006281853,0.04557496955470568,0.042912873987270346,0.05841135152575139,0.5126787894645037,0.0
69,48,144,24,0.1,0.011726771481335163,0.04557496955470568,0.04283427176782387,0.060136031107865584,0.514292255363684,0.0
87,144,48,24,0.1,0.011282090097665787,0.04557496955470568,0.042813494555813056,0.06059192196668173,0.506366649223792,0.0
33,72,72,24,0.0,0.010510485619306564,0.04557496955470568,0.04259417050211812,0.06540430156534871,0.5165707308564451,0.0
67,24,120,36,0.0,0.009873298928141594,0.04557496955470568,0.04256893959730467,0.06595791476706825,0.5073042037327752,0.0
39,96,72,24,0.1,0.009558293037116528,0.04557496955470568,0.04249439665810248,0.06759352615486547,0.5140197104482819,0.0
36,96,384,24,0.0,0.010414578951895237,0.04557496955470568,0.04231510220673643,0.07152758147334115,0.523831327402756,0.0
37,96,96,24,0.0,0.01050396915525198,0.04557496955470568,0.042057776249108565,0.07717379386014223,0.5097353043781615,0.0
35,384,96,36,0.0,0.010097138583660126,0.04557496955470568,0.041971693069888086,0.07906261967969974,0.5245944531658817,0.0
23,480,144,36,0.0,0.011092903092503548,0.04557496955470568,0.04195579191103739,0.07941152082008585,0.522915576487005,0.0
8,192,288,36,0.1,0.013326471671462059,0.04557496955470568,0.04187624870255131,0.08115684746019702,0.5321603000174429,0.0
14,96,72,36,0.0,0.010425697080790997,0.04557496955470568,0.0418362410690524,0.0820346897032046,0.5149136577708007,0.0
32,336,144,24,0.0,0.010650591924786568,0.04557496955470568,0.0417865654980011,0.08312466456301593,0.5284318855747427,0.0
10,240,96,24,0.1,0.009593517519533634,0.04557496955470568,0.0417464800973464,0.08400421316274875,0.5255647130647131,0.0
90,240,96,24,0.0,0.009384781122207642,0.04557496955470568,0.04168172768619933,0.08542500206902204,0.515218908076051,0.0
1,432,72,36,0.0,0.011203072965145111,0.04557496955470568,0.04162300707026509,0.08671344211644227,0.5251395429966859,0.0
13,120,24,36,0.1,0.010686052963137627,0.04557496955470568,0.0415394425543405,0.08854700375655,0.527407116692831,0.0
77,96,192,36,0.0,0.00961292814463377,0.04557496955470568,0.04148615594861937,0.08971621146511843,0.529140502354788,0.0
30,432,432,36,0.1,0.014700404368340969,0.04557496955470568,0.04118732348457045,0.09627315416784943,0.5271781789638933,0.0
41,288,72,24,0.1,0.01016026921570301,0.04557496955470568,0.04109813542469918,0.09823010687111378,0.5255102040816326,0.0
26,24,96,36,0.1,0.01001888420432806,0.04557496955470568,0.04079709691663076,0.10483545430216512,0.5289333682190825,0.0
74,72,24,36,0.1,0.0102583272382617,0.04557496955470568,0.0406832573896902,0.1073333062602212,0.5292822257107972,0.0
3,144,72,36,0.1,0.009985057637095451,0.04557496955470568,0.04055439716827559,0.11016074032487666,0.5369679923251351,0.0
50,144,144,36,0.1,0.008437923155725002,0.04557496955470568,0.0404251261035082,0.1129971890604532,0.5323456305599162,0.0
59,96,480,36,0.1,0.008566162548959255,0.04557496955470568,0.040113550361377426,0.11983374309822992,0.5326726844583988,0.0
12,48,72,36,0.1,0.011226476170122623,0.04557496955470568,0.040048320947938566,0.12126499832618054,0.5371424210709925,0.0
51,192,432,24,0.0,0.011262900196015835,0.04557496955470568,0.03983479881085251,0.12595007303214945,0.5547488226059655,0.0
5,480,96,24,0.1,0.009050441905856133,0.04557496955470568,0.03982455457177471,0.1261748507813809,0.5416012558869702,0.0
57,480,432,24,0.1,0.010057471692562103,0.04557496955470568,0.03934147535060314,0.13677451164548116,0.556809262166405,0.0
68,144,480,36,0.1,0.007643927354365587,0.04557496955470568,0.0377465009487229,0.17177123062223698,0.5513147566718996,0.0
