,units,n_back,dropout,vloss,sec_elaps
18,120,192,0.2,0.0004799280141014606,94
25,144,528,0.1,0.0004228213510941714,174
19,576,384,0.0,0.0004154789785388857,232
0,24,120,0.2,0.000413730536820367,67
27,192,240,0.2,0.0004120010125916451,97
15,720,48,0.2,0.0003823966544587165,66
21,864,432,0.2,0.0003695131454151124,391
16,768,480,0.1,0.00036747922422364354,549
20,432,48,0.1,0.0003651097940746695,68
3,192,672,0.0,0.0003640768409240991,357
33,528,336,0.0,0.0003607926773838699,204
12,864,624,0.2,0.00034937344025820494,548
11,12,720,0.2,0.00034696469083428383,328
7,480,12,0.0,0.0003406114992685616,64
6,48,528,0.0,0.0003396275278646499,200
28,336,240,0.0,0.00033898185938596725,163
32,288,528,0.2,0.0003368941543158144,293
22,192,192,0.1,0.0003364531439729035,158
24,96,24,0.1,0.0003359066031407565,83
34,672,72,0.1,0.00032898859353736043,86
1,768,336,0.2,0.0003278902149759233,409
26,48,24,0.2,0.0003188130212947726,84
2,336,480,0.2,0.00031548214610666037,414
17,432,432,0.1,0.000315091252559796,302
31,384,576,0.1,0.0003135065780952573,468
4,672,768,0.0,0.00031339371344074607,797
14,336,432,0.1,0.000312709657009691,344
10,768,528,0.1,0.00031211989698931575,792
5,384,672,0.0,0.0003095550346188247,534
30,432,288,0.1,0.000304765795590356,554
9,288,144,0.1,0.0003009903593920171,234
13,144,720,0.1,0.00029887008713558316,528
8,192,72,0.0,0.0002930226328317076,115
29,72,480,0.0,0.00028813863173127174,253
23,48,48,0.2,0.0002837696229107678,103
